ATHLETE,HOP ΔUX (m/sec),HOP ΔUY (m/sec),STEP ΔUX (m/sec),STEP ΔUY (m/sec),JUMP ΔUX (m/sec),JUMP ΔUY (m/sec)
DEVETZI,-0.54,2.91,-0.14,4.12,-0.74,4.09
SAVIGNE,-0.12,2.66,-0.53,3.81,-1.16,3.62
SESTAK,-0.22,2.61,-0.50,3.30,-1.27,3.65
SALADUHA,-0.82,2.87,-0.68,3.73,-0.70,3.92
VELDAKOVA,-0.37,2.48,-0.32,3.60,-1.03,3.49
de OLIVEIRA,-0.30,2.34,-0.53,3.53,-1.11,3.13
KULYK,-0.49,2.83,-0.36,3.67,-1.02,3.43
TOPIC,-0.62,2.46,-0.61,3.59,-1.10,3.63
DIMITRAKI,-0.67,2.87,-0.32,2.98,-1.35,3.81
PANETA,-0.64,2.65,-0.57,3.14,-0.83,3.32
Mean (n=10),-0.48,2.67,-0.46,3.55,-1.03,3.61
SD,0.2,0.2,0.2,0.3,0.2,0.3